Date,Boxscore_URL,Score,Outs,Base State,Pitches,Sequence,Out,Team,Batter,Pitcher,Win Expectancy,Leverage Index,Event,Unnamed: 14,Inning,Event Type
Sunday Aug 17,https://www.baseball-reference.com/boxes/BAL/BAL199708170.shtml,3-Mar,0.0,---,"""1","(0-0)X""",O,BAL,Jeff Reboulet,AllenÂ Watson,-4%,55%,Groundout: 2B-1B,,,
Monday Aug 18,https://www.baseball-reference.com/boxes/BAL/BAL199708180.shtml,1-Jan,0.0,---,"""3","(1-1)BCX""",,BAL,Chris Hoiles,DennisÂ Springer,6%,65%,Single to LF (Line Drive),,,
Friday Aug 22,https://www.baseball-reference.com/boxes/BAL/BAL199708220.shtml,1-Mar,0.0,---,,,O,BAL,Mike Bordick,BobÂ Tewksbury,-1%,87%,Groundout: 1B unassisted,,,
Saturday Aug 23,https://www.baseball-reference.com/boxes/BAL/BAL199708230.shtml,4-Mar,0.0,---,,,O,BAL,Chris Hoiles,FrankieÂ Rodriguez,-5%,32%,Flyball: RF,,,
Sunday Aug 24,https://www.baseball-reference.com/boxes/BAL/BAL199708240.shtml,1-May,0.0,---,,,O,BAL,BJ Surhoff,EddieÂ Guardado,0%,97%,Lineout: LF,,,
Tuesday Aug 26,https://www.baseball-reference.com/boxes/BAL/BAL199708260.shtml,4-Apr,0.0,---,"""4","(1-2).BCCS""",O,BAL,Brady Anderson,HipÃ³litoÂ Pichardo,4%,45%,Strikeout Swinging,,,
Wednesday Aug 27,https://www.baseball-reference.com/boxes/BAL/BAL199708270.shtml,3-Mar,0.0,---,"""5","(2-2)SBBFX""",O,BAL,Cal Ripken Jr,KevinÂ Appier,-4%,55%,Flyball: RF (Deep RF),,,
Thursday Aug 28,https://www.baseball-reference.com/boxes/BAL/BAL199708280.shtml,2-Jan,0.0,---,"""6","(2-2)BBCFFX""",O,BAL,Jeffrey Hammonds,JosÃ©Â Rosado,5%,68%,Groundout: P-1B (P's Left),,,
Friday Aug 29,https://www.baseball-reference.com/boxes/BAL/BAL199708290.shtml,0-3,0.0,---,"""1","(0-0)X""",R,BAL,Harold Baines,DaveÂ Mlicki,9%,23%,Home Run (Fly Ball to Deep CF-RF),,,
Saturday Aug 30,https://www.baseball-reference.com/boxes/BAL/BAL199708300.shtml,10-May,0.0,---,,,O,BAL,Jeffrey Hammonds,CoryÂ Lidle,1%,97%,Groundout: 3B-1B,,,
Sunday Aug 31,https://www.baseball-reference.com/boxes/BAL/BAL199708310.shtml,4-Jan,0.0,---,"""1","(0-0)X""",O,BAL,Cal Ripken Jr,RickÂ Reed,3%,89%,Popfly: 3B (P's Right),,,
Thursday Sep 11,https://www.baseball-reference.com/boxes/BAL/BAL199709110.shtml,13-Jan,0.0,---,"""2","(1-0)..BX""",,BAL,Jeff Reboulet,AndyÂ Pettitte,0%,100%,Single to RF (Line Drive),,,
Friday Sep 12,https://www.baseball-reference.com/boxes/BAL/BAL199709120.shtml,13-Feb,0.0,---,"""2","(0-1)....CX""",O,BAL,Mike Bordick,RamiroÂ Mendoza,0%,100%,Groundout: 3B-1B (SS-3B Hole),,,
Saturday Sep 13,https://www.baseball-reference.com/boxes/BAL/BAL199709130.shtml,Jun-00,0.0,---,"""5","(2-2)BBSSC""",O,BAL,Chris Hoiles,KennyÂ Rogers,0%,99%,Strikeout Looking,,,
Sunday Sep 14,https://www.baseball-reference.com/boxes/BAL/BAL199709140.shtml,8-Feb,0.0,---,"""5","(1-2).FSBFC""",O,BAL,BJ Surhoff,MikeÂ Stanton,1%,98%,Strikeout Looking,,,
Monday Sep 15 (1),https://www.baseball-reference.com/boxes/BAL/BAL199709151.shtml,5-Apr,0.0,---,"""4","(2-1).BBCX""",O,BAL,Jerome Walton,EricÂ Plunk,-5%,32%,Groundout: 3B-1B (Weak 3B),,,
Monday Sep 15 (2),https://www.baseball-reference.com/boxes/BAL/BAL199709152.shtml,0-3,0.0,---,"""1","(0-0).X""",R,BAL,Gerónimo Berroa,MichaelÂ Jackson,-9%,77%,Home Run (Fly Ball to Deep LF),,,
Tuesday Sep 16 (1),https://www.baseball-reference.com/boxes/BAL/BAL199709161.shtml,3-Feb,0.0,---,"""3","(1-1)CBX""",O,BAL,Mike Bordick,CharlesÂ Nagy,5%,68%,Flyball: CF,,,
Tuesday Sep 16 (2),https://www.baseball-reference.com/boxes/BAL/BAL199709162.shtml,Jul-00,0.0,---,"""3","(0-2).CCX""",O,BAL,Rafael Palmeiro,JeffÂ Juden,0%,100%,Groundout: 2B-1B (Deep 2B-1B),,,
Wednesday Sep 17,https://www.baseball-reference.com/boxes/BAL/BAL199709170.shtml,8-Feb,0.0,---,"""1","(0-0)X""",O,BAL,Harold Baines,JoelÂ Adamson,1%,98%,Flyball: LF,,,
Thursday Sep 18,https://www.baseball-reference.com/boxes/BAL/BAL199709180.shtml,3-Apr,0.0,---,"""7","(3-2).BCFBBFB""",,BAL,Chris Hoiles,MikeÂ Fetters,3%,81%,Walk,,,
Friday Sep 19,https://www.baseball-reference.com/boxes/BAL/BAL199709190.shtml,0-3,0.0,---,"""5","(1-2)BCFFX""",O,BAL,Roberto Alomar,WillieÂ Blair,3%,89%,Flyball: CF (Deep LF-CF),,,
Saturday Sep 20,https://www.baseball-reference.com/boxes/BAL/BAL199709200.shtml,5-Dec,0.0,---,"""6","(2-2)BBFFFX""",O,BAL,Roberto Alomar,EddieÂ Gaillard,0%,100%,Groundout: 2B-1B (2B-1B),,,
Sunday Sep 21,https://www.baseball-reference.com/boxes/BAL/BAL199709210.shtml,11-Mar,0.0,---,"""3","(0-2).SFS""",O,BAL,Danny Clyburn,DanÂ Miceli,0%,100%,Strikeout Swinging,,,
Monday Sep 22,https://www.baseball-reference.com/boxes/BAL/BAL199709220.shtml,1-Apr,0.0,---,"""3","(2-0)BBX""",O,BAL,BJ Surhoff,RobertoÂ DurÃ¡n,1%,7%,Popfly: SS (Deep SS),,,
Tuesday Mar 31,https://www.baseball-reference.com/boxes/BAL/BAL199803310.shtml,0-3,0.0,---,"""6","(3-2)CFBBBX""",O,BAL,Roberto Alomar,TimÂ Belcher,3%,89%,Flyball: LF (Deep LF),,,
Wednesday Apr 1,https://www.baseball-reference.com/boxes/BAL/BAL199804010.shtml,1-Sep,0.0,---,"""1","(0-1)X""",O,BAL,Rafael Palmeiro,MattÂ Whisenant,0%,100%,Groundout: P-1B (P's Right),,,
Thursday Apr 2,https://www.baseball-reference.com/boxes/BAL/BAL199804020.shtml,0-3,0.0,---,"""5","(1-2)BCCFX""",O,BAL,BJ Surhoff,PatÂ Rapp,-3%,11%,Flyball: CF,,,
Friday Apr 3,https://www.baseball-reference.com/boxes/BAL/BAL199804030.shtml,2-Oct,0.0,---,"""4","(1-2)CBFC""",O,BAL,Cal Ripken Jr,BryceÂ Florie,0%,100%,Strikeout Looking,,,
Saturday Apr 4,https://www.baseball-reference.com/boxes/BAL/BAL199804040.shtml,Feb-00,0.0,---,"""3","(1-1)CBX""",O,BAL,Mike Bordick,DougÂ Bochtler,-1%,87%,Lineout: RF,,,
Sunday Apr 5,https://www.baseball-reference.com/boxes/BAL/BAL199804050.shtml,2-Jun,0.0,---,,,,BAL,Jeffrey Hammonds,A.J.Â Sager,0%,97%,Single to CF (Line Drive),,,
Tuesday Apr 14,https://www.baseball-reference.com/boxes/BAL/BAL199804140.shtml,1-Feb,0.0,---,"""5","(2-2)BBCCX""",O,BAL,BJ Surhoff,ScottÂ Eyre,-2%,76%,Groundout: 1B unassisted (2B-1B),,,
Wednesday Apr 15,https://www.baseball-reference.com/boxes/BAL/BAL199804150.shtml,7-Mar,0.0,---,"""4","(1-2)CBSS""",O,BAL,Lenny Webster,CarlosÂ Castillo,2%,94%,Strikeout Swinging,,,
Thursday Apr 16,https://www.baseball-reference.com/boxes/BAL/BAL199804160.shtml,6-Feb,0.0,---,"""3","(1-1)BCX""",,BAL,BJ Surhoff,MikeÂ Sirotka,-3%,89%,Single to CF (Line Drive),,,
Friday Apr 24,https://www.baseball-reference.com/boxes/BAL/BAL199804240.shtml,0-8,0.0,---,"""4","(2-1)FBBX""",R,BAL,Rafael Palmeiro,KennyÂ Rogers,-1%,99%,Home Run (Fly Ball),,,
Saturday Apr 25,https://www.baseball-reference.com/boxes/BAL/BAL199804250.shtml,Feb-00,0.0,---,"""1","(0-0)X""",,BAL,Jeffrey Hammonds,JimmyÂ Haynes,2%,90%,Single to LF (Line Drive),,,
Sunday Apr 26,https://www.baseball-reference.com/boxes/BAL/BAL199804260.shtml,12-Apr,0.0,---,"""6","(3-2)BCBBCX""",O,BAL,Jeff Reboulet,TomÂ Candiotti,0%,100%,Groundout: SS-1B,,,
Monday Apr 27,https://www.baseball-reference.com/boxes/BAL/BAL199804270.shtml,3-Jan,0.0,---,"""4","(1-2)CBFS""",O,BAL,Jeffrey Hammonds,ChuckÂ Finley,4%,81%,Strikeout Swinging,,,
Tuesday Apr 28,https://www.baseball-reference.com/boxes/BAL/BAL199804280.shtml,6-Jan,0.0,---,"""4","(1-2)CBSX""",,BAL,Mike Bordick,JasonÂ Dickson,-2%,93%,Single to SS (Ground Ball to Deep SS-3B Hole),,,
Friday May 1,https://www.baseball-reference.com/boxes/BAL/BAL199805010.shtml,3-Apr,0.0,---,"""5","(2-2)CFBBX""",O,BAL,Mike Bordick,BradÂ Radke,-2%,76%,Flyball: CF (Deep LF-CF),,,
Saturday May 2,https://www.baseball-reference.com/boxes/BAL/BAL199805020.shtml,7-Jun,0.0,---,"""7","(3-2)BBCBSFX""",O,BAL,Harold Baines,MikeÂ Trombley,5%,67%,Groundout: 2B-1B,,,
Sunday May 3,https://www.baseball-reference.com/boxes/BAL/BAL199805030.shtml,Jan-00,0.0,---,"""1","(0-0)X""",O,BAL,Joe Carter,EricÂ Milton,-2%,76%,Groundout: 1B unassisted (2B-1B),,,
Wednesday May 13,https://www.baseball-reference.com/boxes/BAL/BAL199805130.shtml,1-Jun,0.0,---,"""2","(0-1)CX""",O,BAL,Jeffrey Hammonds,RickÂ Krivda,0%,98%,Lineout: SS,,,
Thursday May 14,https://www.baseball-reference.com/boxes/BAL/BAL199805140.shtml,5-Apr,0.0,---,"""4","(1-2)BCCS""",O,BAL,Roberto Alomar,JosÃ©Â Mesa,5%,67%,Strikeout Swinging,,,
Friday May 15,https://www.baseball-reference.com/boxes/BAL/BAL199805150.shtml,3-Jan,0.0,---,"""2","(0-1)CX""",O,BAL,BJ Surhoff,WilsonÂ Ãlvarez,4%,81%,Flyball: LF,,,
Saturday May 16,https://www.baseball-reference.com/boxes/BAL/BAL199805160.shtml,5-Jan,0.0,---,"""5","(2-2)CBBFX""",O,BAL,Cal Ripken Jr,EstebanÂ Yan,2%,94%,Groundout: C-1B (Short 3B Line),,,
Sunday May 17,https://www.baseball-reference.com/boxes/BAL/BAL199805170.shtml,0-2,0.0,---,"""4","(3-0)BBBB""",,BAL,Cal Ripken Jr,EstebanÂ Yan,-7%,70%,Walk,,,
Monday May 18,https://www.baseball-reference.com/boxes/BAL/BAL199805180.shtml,5-Feb,0.0,---,"""5","(1-2)CBFFX""",O,BAL,Mike Bordick,AlbieÂ Lopez,3%,89%,Groundout: P-2B-1B,,,
Thursday May 28,https://www.baseball-reference.com/boxes/BAL/BAL199805280.shtml,1-Apr,0.0,---,"""2","(1-0)BX""",,BAL,Brady Anderson,ScottÂ Bailes,3%,96%,Triple to CF (Line Drive to Deep CF-RF),,,
Friday May 29,https://www.baseball-reference.com/boxes/BAL/BAL199805290.shtml,3-May,0.0,---,"""4","(1-2)CCBX""",O,BAL,Rafael Palmeiro,EricÂ Gunderson,-1%,87%,Groundout: 1B unassisted (2B-1B),,,
Saturday May 30,https://www.baseball-reference.com/boxes/BAL/BAL199805300.shtml,5-Jun,0.0,---,"""2","(0-1)CX""",O,BAL,BJ Surhoff,XavierÂ Hernandez,2%,24%,Foul Popfly: 1B (1B into Foul Terr.),,,
Sunday May 31,https://www.baseball-reference.com/boxes/BAL/BAL199805310.shtml,7-Mar,0.0,---,"""4","(1-2)SBFS""",O,BAL,Joe Carter,TimÂ Crabtree,2%,94%,Strikeout Swinging,,,
Monday Jun 1,https://www.baseball-reference.com/boxes/BAL/BAL199806010.shtml,8-Jun,0.0,---,"""2","(1-0)BX""",,BAL,Rafael Palmeiro,BobÂ Wells,7%,30%,Single to RF (Line Drive),,,
Tuesday Jun 2,https://www.baseball-reference.com/boxes/BAL/BAL199806020.shtml,7-Jul,0.0,---,"""5","(2-2)CCBBS""",O,BAL,Harold Baines,PaulÂ Spoljaric,-4%,55%,Strikeout Swinging,,,
Friday Jun 5,https://www.baseball-reference.com/boxes/BAL/BAL199806050.shtml,1-Mar,0.0,---,"""3","(1-1)FBX""",O,BAL,Roberto Alomar,DennyÂ Neagle,-1%,87%,Single to CF (Line Drive); R.Â Alomar out at 2B/CF-SS,,,
Saturday Jun 6,https://www.baseball-reference.com/boxes/BAL/BAL199806060.shtml,8-Mar,0.0,---,"""5","(3-1)BBBCX""",,BAL,Chris Hoiles,KevinÂ Millwood,-2%,93%,Single to CF (Line Drive to Short CF-RF),,,
Sunday Jun 7,https://www.baseball-reference.com/boxes/BAL/BAL199806070.shtml,0-7,0.0,---,"""5","(3-1)BBBCX""",O,BAL,Rafael Palmeiro,GregÂ Maddux,0%,99%,Groundout: 1B-P,,,
Monday Jun 15,https://www.baseball-reference.com/boxes/BAL/BAL199806150.shtml,4-May,0.0,---,"""8","(2-2)CFBFFFBX""",O,BAL,Joe Carter,MikeÂ Stanton,-2%,76%,Popfly: 1B (Deep 2B-1B),,,
Tuesday Jun 16,https://www.baseball-reference.com/boxes/BAL/BAL199806160.shtml,Feb-00,0.0,---,"""8","(2-2)CBFFBFFX""",,BAL,Brady Anderson,HidekiÂ Irabu,2%,90%,Single to RF (Line Drive to Short RF),,,
Wednesday Jun 17,https://www.baseball-reference.com/boxes/BAL/BAL199806170.shtml,5-Feb,0.0,---,"""4","(1-2)CFBX""",O,BAL,BJ Surhoff,AndyÂ Pettitte,3%,89%,Groundout: 1B unassisted (2B-1B),,,
Thursday Jun 18,https://www.baseball-reference.com/boxes/BAL/BAL199806180.shtml,12-Feb,0.0,---,"""6","(2-2)CBFBFX""",,BAL,Roberto Alomar,ChrisÂ Carpenter,0%,100%,Double to RF (Ground Ball),,,
Friday Jun 19,https://www.baseball-reference.com/boxes/BAL/BAL199806190.shtml,4-Apr,0.0,---,"""2","(1-0)BX""",,BAL,Harold Baines,RobertÂ Person,6%,65%,Single to CF (Line Drive),,,
Saturday Jun 20,https://www.baseball-reference.com/boxes/BAL/BAL199806200.shtml,3-Sep,0.0,---,"""3","(0-2)FCX""",O,BAL,Rafael Palmeiro,WoodyÂ Williams,0%,99%,Flyball: CF,,,
Sunday Jun 21,https://www.baseball-reference.com/boxes/BAL/BAL199806210.shtml,6-Mar,0.0,---,"""4","(0-2)CCFS""",O,BAL,Joe Carter,PatÂ Hentgen,3%,89%,Strikeout Swinging,,,
Monday Jun 22,https://www.baseball-reference.com/boxes/BAL/BAL199806220.shtml,2-May,0.0,---,"""3","(2-0)BBX""",O,BAL,Brady Anderson,BillÂ Pulsipher,-1%,93%,Groundout: 2B-1B,,,
Tuesday Jun 23,https://www.baseball-reference.com/boxes/BAL/BAL199806230.shtml,5-Mar,0.0,---,"""7","(2-2)CBBFFFX""",O,BAL,Joe Carter,JohnÂ Hudek,4%,81%,Flyball: LF (Short LF-CF),,,
Tuesday Jun 30,https://www.baseball-reference.com/boxes/BAL/BAL199806300.shtml,7-May,0.0,---,"""4","(1-2)CCBX""",O,BAL,Roberto Alomar,BrianÂ Edmondson,4%,81%,Lineout: RF (Short RF),,,
Wednesday Jul 1,https://www.baseball-reference.com/boxes/BAL/BAL199807010.shtml,5-Jan,0.0,---,"""4","(3-0)BBBB""",,BAL,Brady Anderson,LivÃ¡nÂ HernÃ¡ndez,-3%,89%,Walk,,,
Thursday Jul 2,https://www.baseball-reference.com/boxes/BAL/BAL199807020.shtml,3-May,0.0,---,"""6","(3-2)BBBCFX""",O,BAL,BJ Surhoff,KirtÂ Ojala,-1%,87%,Flyball: RF (Short RF),,,
Thursday Jul 9,https://www.baseball-reference.com/boxes/BAL/BAL199807090.shtml,2-Feb,0.0,---,"""2","(0-1)SX""",O,BAL,Mike Bordick,DerekÂ Lowe,-4%,55%,Groundout: 3B-1B (SS-3B Hole),,,
Friday Jul 10,https://www.baseball-reference.com/boxes/BAL/BAL199807100.shtml,2-Feb,0.0,---,"""1","(0-1)X""",O,BAL,Cal Ripken Jr,PedroÂ Martinez,-4%,55%,Flyball: CF,,,
Saturday Jul 11,https://www.baseball-reference.com/boxes/BAL/BAL199807110.shtml,Feb-00,0.0,---,"""4","(0-2)CFFX""",O,BAL,Eric Davis,TimÂ Wakefield,-1%,87%,Flyball: CF,,,
Sunday Jul 12,https://www.baseball-reference.com/boxes/BAL/BAL199807120.shtml,7-Aug,0.0,---,"""1","(0-0)X""",,BAL,Rafael Palmeiro,DerekÂ Lowe,3%,81%,Single to 2B (Ground Ball to Deep 2B-1B),,,
Monday Jul 13,https://www.baseball-reference.com/boxes/BAL/BAL199807130.shtml,Apr-00,0.0,---,"""4","(1-2)BCSX""",O,BAL,Roberto Alomar,JuanÂ GuzmÃ¡n,0%,96%,Flyball: CF,,,
Tuesday Jul 14,https://www.baseball-reference.com/boxes/BAL/BAL199807140.shtml,4-Aug,0.0,---,"""1","(0-0)X""",R,BAL,Rafael Palmeiro,RobertÂ Person,2%,98%,Home Run (Fly Ball to Deep CF-RF),,,
Tuesday Jul 21,https://www.baseball-reference.com/boxes/BAL/BAL199807210.shtml,1-Jul,0.0,---,"""5","(3-1)BBFBB""",,BAL,Brady Anderson,T.J.Â Mathews,0%,99%,Walk,,,
Wednesday Jul 22,https://www.baseball-reference.com/boxes/BAL/BAL199807220.shtml,4-Apr,0.0,---,"""2","(1-0)BX""",O,BAL,Rafael Palmeiro,BuddyÂ Groom,-4%,55%,Flyball: LF (Short LF),,,
Thursday Jul 23,https://www.baseball-reference.com/boxes/BAL/BAL199807230.shtml,6-May,0.0,---,"""5","(3-1)CBBBX""",,BAL,BJ Surhoff,MikeÂ Mohler,7%,45%,Single to SS (Line Drive to Deep SS-2B),,,
Friday Jul 24,https://www.baseball-reference.com/boxes/BAL/BAL199807240.shtml,3-May,0.0,---,"""8","(3-2)CSBBFBFB""",,BAL,Rafael Palmeiro,PaulÂ Spoljaric,2%,90%,Walk,,,
Saturday Jul 25,https://www.baseball-reference.com/boxes/BAL/BAL199807250.shtml,4-Feb,0.0,---,"""1","(0-0)X""",,BAL,Jeffrey Hammonds,JeffÂ Fassero,-7%,70%,Single to 3B (Ground Ball to SS-3B Hole),,,
Sunday Jul 26,https://www.baseball-reference.com/boxes/BAL/BAL199807260.shtml,9-Apr,0.0,---,"""3","(1-1)BFX""",O,BAL,PJ Forbes,JamieÂ Moyer,1%,97%,Groundout: 2B-1B,,,
Tuesday Aug 4,https://www.baseball-reference.com/boxes/BAL/BAL199808040.shtml,Mar-00,0.0,---,"""2","(1-0)BX""",,BAL,Cal Ripken Jr,MattÂ Anderson,1%,95%,Single to LF (Line Drive to Short LF),,,
Wednesday Aug 5,https://www.baseball-reference.com/boxes/BAL/BAL199808050.shtml,1-Feb,0.0,---,"""7","(3-2)BCFBFBX""",O,BAL,Rafael Palmeiro,MattÂ Anderson,-2%,76%,Groundout: 1B unassisted (2B-1B),,,
Monday Aug 17,https://www.baseball-reference.com/boxes/BAL/BAL199808170.shtml,2-Mar,0.0,---,"""5","(1-2)FCBFX""",O,BAL,Harold Baines,LaTroyÂ Hawkins,-2%,76%,Flyball: CF (Deep LF-CF),,,
Tuesday Aug 18,https://www.baseball-reference.com/boxes/BAL/BAL199808180.shtml,1-Feb,0.0,---,"""4","(2-1)BBCX""",O,BAL,Chris Hoiles,BradÂ Radke,-2%,76%,Flyball: CF,,,
Wednesday Aug 19,https://www.baseball-reference.com/boxes/BAL/BAL199808190.shtml,2-Apr,0.0,---,"""6","(3-2)BFCBBB""",,BAL,Brady Anderson,RamÃ³nÂ TatÃ­s,2%,90%,Walk,,,
Thursday Aug 20,https://www.baseball-reference.com/boxes/BAL/BAL199808200.shtml,0-2,0.0,---,"""5","(2-2)BBFCS""",O,BAL,Rafael Palmeiro,TonyÂ Saunders,4%,81%,Strikeout Swinging,,,
Friday Aug 21,https://www.baseball-reference.com/boxes/BAL/BAL199808210.shtml,4-Jan,0.0,---,"""1","(0-0)X""",,BAL,Eric Davis,JaretÂ Wright,-5%,81%,Single to CF (Ground Ball thru SS-2B),,,
Saturday Aug 22,https://www.baseball-reference.com/boxes/BAL/BAL199808220.shtml,3-Apr,0.0,---,"""3","(1-1)BFX""",,BAL,Rafael Palmeiro,DougÂ Jones,3%,81%,Single to CF (Fly Ball to Short CF-RF),,,
Sunday Aug 23,https://www.baseball-reference.com/boxes/BAL/BAL199808230.shtml,0-4,0.0,---,"""3","(1-1)BCX""",,BAL,Harold Baines,DwightÂ Gooden,-3%,89%,Reached on E3 (Ground Ball to 2B-1B),,,
Friday Aug 28,https://www.baseball-reference.com/boxes/BAL/BAL199808280.shtml,5-Mar,0.0,---,"""1","(0-0)X""",O,BAL,Rafael Palmeiro,PatÂ Rapp,4%,81%,Flyball: RF (Deep CF-RF),,,
Saturday Aug 29,https://www.baseball-reference.com/boxes/BAL/BAL199808290.shtml,0-2,0.0,---,"""2","(0-1)FX""",O,BAL,Harold Baines,BrianÂ Barber,4%,81%,Groundout: 2B-1B,,,
Sunday Aug 30,https://www.baseball-reference.com/boxes/BAL/BAL199808300.shtml,3-Feb,0.0,---,"""6","(3-2)BBBCFB""",,BAL,Brady Anderson,RickyÂ Bones,-7%,55%,Walk,,,
Monday Aug 31,https://www.baseball-reference.com/boxes/BAL/BAL199808310.shtml,4-Jan,0.0,---,"""3","(1-1)CBX""",O,BAL,Cal Ripken Jr,JamesÂ Baldwin,3%,89%,Groundout: SS-1B (SS-3B Hole),,,
Tuesday Sep 1,https://www.baseball-reference.com/boxes/BAL/BAL199809010.shtml,6-Mar,0.0,---,"""5","(2-2)BFBCX""",O,BAL,Brady Anderson,JaimeÂ Navarro,3%,89%,Groundout: 3B-1B (SS-3B Hole),,,
Wednesday Sep 2,https://www.baseball-reference.com/boxes/BAL/BAL199809020.shtml,3-Feb,0.0,---,"""3","(0-2)LFX""",O,BAL,Cal Ripken Jr,JohnÂ Snyder,5%,67%,Lineout: CF,,,
Friday Sep 11,https://www.baseball-reference.com/boxes/BAL/BAL199809110.shtml,3-Aug,0.0,---,"""1","(0-0)X""",O,BAL,BJ Surhoff,JasonÂ Dickson,0%,98%,Groundout: 1B-P (2B-1B),,,
Saturday Sep 12,https://www.baseball-reference.com/boxes/BAL/BAL199809120.shtml,0-2,0.0,---,"""4","(2-1)BBCX""",O,BAL,Mike Bordick,SteveÂ Sparks,-4%,19%,Flyball: CF,,,
Sunday Sep 13,https://www.baseball-reference.com/boxes/BAL/BAL199809130.shtml,7-Jul,0.0,---,"""7","(3-2)FBFBFBB""",,BAL,Eric Davis,JarrodÂ Washburn,6%,65%,Walk,,,
Monday Sep 14,https://www.baseball-reference.com/boxes/BAL/BAL199809140.shtml,0-0,0.0,---,"""3","(1-1)BCX""",,BAL,Rich Becker,AaronÂ Sele,6%,65%,Single to RF (Line Drive to Short RF),,,
Tuesday Sep 15,https://www.baseball-reference.com/boxes/BAL/BAL199809150.shtml,4-May,0.0,---,"""2","(1-0)BX""",,BAL,Mike Bordick,DannyÂ Patterson,-5%,16%,Double to LF (Fly Ball to Deep LF Line),,,
Wednesday Sep 16,https://www.baseball-reference.com/boxes/BAL/BAL199809160.shtml,4-Jan,0.0,---,"""1","(0-0)X""",,BAL,Harold Baines,BretÂ Saberhagen,-5%,81%,Single to CF (Line Drive),,,
Thursday Sep 17,https://www.baseball-reference.com/boxes/BAL/BAL199809170.shtml,2-Feb,0.0,---,"""3","(0-2)FSC""",O,BAL,Lyle Mouton,JimÂ Corsi,4%,45%,Strikeout Looking,,,
Friday Sep 18,https://www.baseball-reference.com/boxes/BAL/BAL199809180.shtml,8-May,0.0,---,"""2","(0-1)CX""",O,BAL,Cal Ripken Jr,MikeÂ Stanton,3%,89%,Groundout: SS-1B (SS-3B Hole),,,
Saturday Sep 19,https://www.baseball-reference.com/boxes/BAL/BAL199809190.shtml,Apr-00,0.0,---,"""5","(3-1)FBBBX""",O,BAL,Eric Davis,DavidÂ Cone,0%,96%,Groundout: 3B-1B (Weak 3B),,,
Sunday Sep 20,https://www.baseball-reference.com/boxes/BAL/BAL199809200.shtml,2-Jan,0.0,---,"""5","(3-1)BCBBB""",,BAL,Lenny Webster,JeffÂ Nelson,-7%,55%,Walk,,,
Monday Apr 5,https://www.baseball-reference.com/boxes/BAL/BAL199904050.shtml,5-Jun,0.0,---,"""6","(3-2)SFBBBS""",O,BAL,Albert Belle,EstebanÂ Yan,-2%,76%,Strikeout Swinging,,,
Wednesday Apr 7,https://www.baseball-reference.com/boxes/BAL/BAL199904070.shtml,8-Feb,0.0,---,"""5","(3-1)BBCBX""",R,BAL,Will Clark,AlbieÂ Lopez,-2%,96%,Home Run (Fly Ball to Deep CF-RF),,,
Thursday Apr 8,https://www.baseball-reference.com/boxes/BAL/BAL199904080.shtml,5-Feb,0.0,---,"""3","(0-2)FFS""",O,BAL,Jeff Reboulet,RickÂ White,3%,89%,Strikeout Swinging,,,
Friday Apr 9,https://www.baseball-reference.com/boxes/BAL/BAL199904090.shtml,6-Feb,0.0,---,"""4","(2-1)BCBX""",O,BAL,Cal Ripken Jr,TomÂ Davey,2%,94%,Groundout: SS-1B (Deep SS-2B),,,
Saturday Apr 10,https://www.baseball-reference.com/boxes/BAL/BAL199904100.shtml,Jan-00,0.0,---,"""7","(2-2)FBBFFFS""",O,BAL,BJ Surhoff,ChrisÂ Carpenter,-2%,76%,Strikeout Swinging,,,
Sunday Apr 11,https://www.baseball-reference.com/boxes/BAL/BAL199904110.shtml,7-Apr,0.0,---,"""7","(3-2)CBFBBFS""",O,BAL,Will Clark,DanÂ Plesac,3%,89%,Strikeout Swinging,,,
Friday Apr 23,https://www.baseball-reference.com/boxes/BAL/BAL199904230.shtml,3-Mar,0.0,---,"""6","(3-2)BCSBBX""",,BAL,Lenny Webster,JimmyÂ Haynes,10%,70%,Double to RF (Fly Ball to Deep RF Line),,,
Saturday Apr 24,https://www.baseball-reference.com/boxes/BAL/BAL199904240.shtml,0-3,0.0,---,"""3","(1-1)BCX""",O,BAL,Delino Deshields,T.J.Â Mathews,3%,89%,Flyball: CF,,,
Sunday Apr 25,https://www.baseball-reference.com/boxes/BAL/BAL199904250.shtml,6-Feb,0.0,---,"""3","(1-1)BCX""",,BAL,Rich Amaral,KennyÂ Rogers,-3%,88%,Reached on E6 (Ground Ball),,,
Tuesday Apr 27,https://www.baseball-reference.com/boxes/BAL/BAL199904270.shtml,1-Jun,0.0,---,"""3","(0-2)CCX""",,BAL,BJ Surhoff,ScottÂ Service,0%,99%,Double to RF (Ground Ball),,,
Wednesday Apr 28,https://www.baseball-reference.com/boxes/BAL/BAL199904280.shtml,8-Feb,0.0,---,"""2","(1-0)BX""",,BAL,Harold Baines,JosÃ©Â Rosado,-1%,96%,Single to CF (Fly Ball),,,
Thursday Apr 29,https://www.baseball-reference.com/boxes/BAL/BAL199904290.shtml,6-Mar,0.0,---,"""3","(0-2)CFC""",O,BAL,Delino Deshields,JeffÂ Suppan,3%,89%,Strikeout Looking,,,
Friday Apr 30,https://www.baseball-reference.com/boxes/BAL/BAL199904300.shtml,Apr-00,0.0,---,"""4","(1-2)FBSX""",,BAL,Brady Anderson,LaTroyÂ Hawkins,0%,97%,Single to RF (Line Drive to Deep 2B-1B),,,
